"Time (s)","Sound pressure level (dB)"
7.537605025E2,5.774242078E1
7.538628235E2,5.956313747E1
7.539643888E2,5.906345398E1
7.540705010E2,5.879807978E1
7.541765742E2,5.986400942E1
7.542799932E2,5.824898003E1
7.543817300E2,5.726186924E1
7.544838312E2,5.795890209E1
7.545887588E2,5.833298555E1
7.546938599E2,5.930913786E1
7.547954075E2,5.877009172E1
7.548998185E2,5.898122621E1
7.550055484E2,6.002945746E1
7.551121038E2,5.768779563E1
7.552145641E2,5.698993459E1
7.553162720E2,5.609308803E1
7.554227805E2,5.844627918E1
7.555291675E2,5.638023393E1
7.556317620E2,5.664876177E1
7.557334138E2,5.698244892E1
7.558398823E2,5.558892524E1
7.559463940E2,5.675444029E1
7.560517471E2,5.772462158E1
7.561576469E2,5.854046809E1
7.562639504E2,5.593029002E1
7.563660470E2,5.750844933E1
7.564677190E2,5.554912140E1
7.565742629E2,5.949358527E1
7.566782860E2,5.711987399E1
7.567813126E2,5.823924125E1
7.568833125E2,5.662300978E1
7.569850398E2,5.748777628E1
7.570916158E2,5.783537033E1
7.571981104E2,5.625331139E1
7.573005839E2,5.707342253E1
7.574023286E2,5.775582859E1
7.575083003E2,5.777080752E1
7.576150649E2,5.748771115E1
7.577177012E2,5.812744492E1
7.578194557E2,6.089691854E1
7.579255323E2,5.982286903E1
7.580305118E2,5.700428419E1
7.581330357E2,5.764820575E1
7.582350212E2,5.950288192E1
7.583367965E2,6.025581557E1
7.584428039E2,5.780337520E1
7.585492780E2,5.830640487E1
7.586520714E2,5.814404947E1
7.587538168E2,5.929789941E1
7.588593773E2,5.991934274E1
7.589658303E2,5.793972094E1
7.590693135E2,5.772431507E1
7.591709763E2,5.750841795E1
7.592775296E2,5.738733965E1
7.593839033E2,5.860930095E1
7.594865280E2,5.972351529E1
7.595881485E2,5.920077670E1
7.596946656E2,5.882890240E1
7.598011327E2,6.074297951E1
7.599036642E2,6.303325494E1
7.600053028E2,5.934874154E1
7.601072453E2,5.760247483E1
7.602137541E2,5.711557228E1
7.603188605E2,5.699866559E1
7.604210115E2,5.870504568E1
7.605225898E2,5.843221130E1
7.606291135E2,5.970529053E1
7.607355746E2,6.010972457E1
7.608380479E2,5.911178119E1
7.609397208E2,5.591279493E1
7.610462430E2,5.856220170E1
7.611506160E2,5.756319979E1
7.612553344E2,6.054557038E1
7.613569303E2,5.790120640E1
7.614605456E2,5.936844258E1
7.615635523E2,6.062356630E1
7.616700782E2,6.008929693E1
7.617725961E2,5.884593679E1
7.618741795E2,5.779403841E1
7.619803742E2,5.687386461E1
7.620868639E2,5.819551135E1
7.621897856E2,5.900079458E1
7.622915373E2,5.775954187E1
